TNFRSF11A	540.762023153812	-323.101101149794	1
TEAD3	-392.406006631345	-348.04549812245	1
TOP2B	-262.576355752438	782.796725998643	1
TGIF2	166.506728354007	-469.321682204482	1
SEC61A2	-728.657165527344	906.426513671875	1
SEC61A1	-731.674621582031	1014.14794921875	1
SCN3A	-17.6699827284516	394.949039231065	1
TARS	-894.726928710938	906.426514197461	1
SARS2	-897.744445800781	1014.14788870918	1
VDR	-203.528076943845	712.721896897081	1
SOX9	-173.015930947751	801.423801193956	1
RELB	538.882750692874	-206.335529555556	1
TLE2	-328.333069619626	513.326877365831	1
RNF114	589.556761923343	369.484348068956	1
RAB32	729.492858114749	-115.630823363539	1
RAB33A	745.980712118655	-205.111408461806	1
QTRTD1	-669.872131347656	641.606566857226	1
QTRT1	-672.889587402344	749.328063439257	1
TRIP6	179.761977377444	-557.047481765028	1
THBD	-772.890625	641.606566857226	1
PROCR	-775.908081054688	749.328063439257	1
SEMA6D	-498.965851602048	-41.9427454369035	1
SEMA6A	-527.209534463376	-97.9053499596085	1
RASGRP1	-301.064850625485	-249.801616896864	1
SRPX2	191.367140951663	-663.667690505263	1
PDGFA	-67.0529716582001	-619.591305007216	1
SOX10	-1128.05798339844	171.530334472656	1
THOC2	438.581725302249	370.684573899034	1
POFUT1	-677.035828408688	29.5744054420028	1
TNFAIP3	455.756499472171	221.610172043565	1
OLIG2	-1203.14440917969	94.1152954101563	1
NKX2-2	-1147.02014160156	-45.6651496887207	1
SOX2	494.659911337405	-426.606777419325	1
NES	645.720763388187	-488.129360427138	1
TMEM147	-875.907836914062	641.606566857226	1
NCLN	-878.92529296875	749.328063439257	1
NCF4	-2.1073606581391	-628.6670801537	1
NCF2	-93.9618690581025	-580.899196852919	1
PTPRA	45.3355857758819	369.830661545518	1
TPM4	128.509169760257	-629.30624030995	1
MYBPC1	207.445037069827	-719.16952155995	1
MAU2	-345.934693154782	185.459476242784	1
SAFB	450.277159872562	826.707126389268	1
MGAT1	416.439238729983	-805.702175368544	1
MAN2A1	506.441466513187	-756.952541579482	1
LRRTM4	-497.684967812985	-910.110195388075	1
LRRFIP1	-40.1939933867158	-704.936245192763	1
LMO2	-57.8710029692353	179.387790451768	1
LILRB3	468.201964560062	-192.370525588271	1
LFNG	-674.007691201657	106.077716599229	1
PDPN	268.589415731937	-428.312008132216	1
TEC	38.1676132111846	-588.543575515029	1
PMP22	244.891585531741	-208.143757094618	1
TPR	332.781615438968	265.186954270128	1
NUP188	422.941710653812	226.50348259044	1
KLRC4	485.783415976077	-298.337871779677	1
RUFY3	-1081.94226074219	641.606566857226	1
KIAA1598	-1084.95971679688	749.328063439257	1
SOCS2	620.810729208499	551.556369553331	1
KDM4B	-743.515320596188	442.447482834581	1
JADE3	-890.973389443845	234.377536545518	1
TGFBI	360.388701620608	-462.849148024794	1
TRPM2	389.831114950687	-369.180660475966	1
SLC11A1	409.423644247562	-448.015957106825	1
ITGA7	132.976515951663	-307.177288283583	1
ITGB8	121.474486532718	-348.727428664443	1
PRKDC	-181.388748940915	394.271732102159	1
ITGA5	97.8206169038116	-189.021930922743	1
IL15RA	48.1914550690948	-649.713039626357	1
TRIM22	66.1953117280303	471.810031662706	1
TRIM38	124.605918112308	485.013950119737	1
SP100	182.523696127444	386.413760910753	1
IFI30	110.084738913089	399.049014817003	1
ICAM3	413.210601034671	-509.542446364638	1
HNRNPAB	405.130156698734	660.7850682838	1
HMGB3	100.811736288577	970.016574631456	1
HEXA	641.072325888187	-285.203655471083	1
HMG20B	-528.05908280322	413.3631932838	1
HCFC1	199.500243368655	898.765292893175	1
GUK1	-1065.91900687324	-695.104431152344	1
GSTK1	443.45248335889	-5.18165229725503	1
GRIK5	341.78256148389	385.819827805284	1
GRIK1	280.85351485303	428.302402268175	1
KCNJ3	-500.794068154782	-608.687496413466	1
RGS6	-266.587799844235	-771.711879958388	1
RGS12	-330.099304971188	-750.457058181044	1
MTSS1	-664.525574502438	-161.194038619277	1
GAS1	-608.052674111813	-416.195156325575	1
MAN1A1	390.188445272952	-649.482753981825	1
GANAB	308.978697958499	-345.057995070693	1
GABRA3	152.47331160596	-952.338588942763	1
MFSD12	331.326842489749	537.318149338487	1
KLHL25	374.689330282718	455.188083420518	1
RBBP6	450.531066122562	415.469943772081	1
KEAP1	473.414733114749	482.448886643175	1
FZD7	-291.260193643063	-330.704403151747	1
LRP6	-361.860596475095	-213.844799269911	1
FZD3	-310.938874062985	-392.063686599013	1
MMP16	-924.81396561572	22.1761968238387	1
MMP15	-927.203980264157	104.923480759386	1
FURIN	-779.413697061032	65.0264165504012	1
FGFR3	19.7600643067657	-471.45696662831	1
FLRT1	-54.6019714445771	-902.350124587294	1
FGF9	-66.2277992338837	-725.627102126357	1
IL4R	135.38671797803	-251.784847487685	1
IRS2	-60.2232292265595	-232.601856459853	1
RND1	-398.352265176267	-33.2449762718644	1
FCGR2B	472.950957479983	-604.790249099013	1
LILRB2	314.647917929202	-514.028713454482	1
FBXO21	538.415343466312	608.436252365831	1
RBCK1	440.92333907178	323.77887321544	1
FBXO17	420.204405966312	493.885532150987	1
TAF5	-65.2816093535126	582.41250969005	1
POLD4	-106.803192910642	902.993503342393	1
EPHB4	-101.969368752927	-532.336727370497	1
EPHB1	57.0469505219756	-528.915249099013	1
MORF4L2	-324.657898721188	634.391757736925	1
UBN1	-423.486176309079	555.385043869737	1
TRRAP	-229.433441934079	592.618686447862	1
MSL2	-375.789124307126	603.696506272081	1
ENG	20.1066276459991	-66.1482279198136	1
