CDKN1B	-0.524879936806923
EPB41	0.0354983738515068
CLGN	-0.322075886125836
PDE10A	-0.364549118861299
RALGPS2	-0.263340008628074
TAF5	-0.381990474839575
ACTR1A	-0.178051890630794
PELI1	-0.361017811674024
ZNF804A	-0.258357365918944
PPM1D	-0.395771043883283
RAD21	-0.474489648506353
SORCS3	-0.133502459910185
ALCAM	-0.287521577740508
PURG	-0.222039687514798
SLC1A1	-0.237641510285516
NR0B1	-0.148940710249857
FBXO21	-0.485270511022994
GADD45G	-0.0936660361555557
GABRA3	-0.131658902083832
FHOD3	-0.0462779347366242
TMSL8	0
LRRTM4	-0.176518864024566
PAFAH1B3	-0.316034689221818
FAM110B	-0.286353592159383
REEP1	-0.231721675006935
SNX26	0
LRP6	-0.384695611934434
C1QL1	-0.0975355687419168
TMCC1	-0.535272784511593
GSK3B	-0.295778983465953
MMP16	-0.367441604157369
LPHN3	-0.318320270790529
DLL3	-0.337681653768619
SEC61A2	-0.196534728138886
ICK	-0.465820389064987
RAP2A	-0.296331619874952
ZNF286A	-0.468854087311239
FAM125B	0.00153836661932594
ZEB2	-0.414971587448457
AMOTL2	-0.268242797770888
NKX2-2	-0.130863804670629
TTC3	-0.258463056039677
TOP2B	-0.427015837319833
SCN3A	-0.273431159912221
TOX3	-0.499800002381408
MLLT11	-0.379782003173387
RALGPS1	-0.0931123907729613
GSTA4	-0.489277388927149
DGKI	-0.394860230666819
MTSS1	-0.381631579300775
SATB1	-0.302886955371862
KIF21B	-0.313944729093529
PODXL2	-0.406455323717329
CRMP1	-0.435561929521226
GNG4	-0.506605361138634
MYT1	-0.505134480371256
BCL7A	-0.473611904702439
CHD7	-0.394779276413713
SOX4	-0.510129073044538
SOX11	-0.39399393793457
DCX	-0.493424861589434
C6orf134	0
FAM77C	0
MARCKSL1	-0.43405496785805
C1orf106	-0.449696503052403
DBN1	-0.20538070302687
DPYSL4	-0.241911755359285
TMEFF1	-0.10343650083083
STMN4	-0.160315131376395
DUSP26	-0.288856382620722
PAK7	-0.304584350829905
PAK3	-0.316587418327265
MAST1	-0.335699563708159
TNRC4	0
CDK5R1	-0.257017566131793
ATP1A3	-0.140652833159662
FGF9	-0.12141699314385
WASF1	-0.307984285769069
CA10	-0.376030170841177
RP11-35N6.1	0
SOX10	-0.25430387047307
ERBB3	-0.291469555079313
RAB33A	-0.339650807285451
IL1RAPL1	-0.161724692895115
DNM3	-0.287014878676704
GPR17	-0.256309218871362
CLASP2	-0.384002783489979
PPM1E	-0.418208863717883
STMN1	-0.45930813091088
FLRT1	-0.220827157796661
EPHB1	-0.348721832981682
HDAC2	-0.513544120343314
PHF16	-0.594059868136162
LOC81691	-0.283659696511769
CDC7	-0.475545024119372
MYB	-0.264486314825918
MCM10	-0.415178553741438
ATAD5	-0.370969008116284
HMGB3	-0.285677017516966
CDC25A	-0.308804965748219
TOPBP1	-0.449592451739625
HN1	-0.376551353333228
AOF2	0
SLCO5A1	-0.335188498013599
NOL4	-0.381982636891002
YPEL1	-0.359118528265666
CXXC4	-0.406088047174728
ZNF643	-0.311690517909527
KLRK1	-0.100072148509688
KLRC4	-0.289257803193275
KLRC3	-0.437671436440272
PCDH11Y	-0.136430023297916
PCDH11X	-0.312733098173712
HRASLS	-0.282991022015578
KIAA1166	0
ZNF184	-0.472930263814516
CASK	-0.595554598132386
ZNF711	-0.587805127207156
ZNF510	-0.37456434392046
WDR68	0
MYST2	0
CBX1	-0.3337655736268
CAMSAP1L1	0
HOXD3	-0.196528879947293
MATR3	-0.424028590948171
TMEM118	0
LOC55565	0
VAX2	-0.057952428848978
TMEM35	-0.373667066561123
NRXN1	-0.230650625355094
SPTBN2	-0.214934966942937
NCALD	-0.340439786239375
SOX2	-0.309626258275943
SCG3	-0.351163633068891
TTYH1	-0.0445960107182905
C1orf61	-0.446762970100203
GPM6A	-0.349368458980971
DPF1	-0.206479753902435
RUFY3	-0.40262566014123
NRXN2	-0.119788765433068
NCAM1	-0.296923040564225
MAPT	-0.31131237150404
SRGAP3	-0.184029475465052
FXYD6	-0.283763737540569
ABAT	-0.394487856933978
PHLPP	0
OLIG2	-0.245922705816998
MAP2	-0.468138484762145
BCAN	-0.267516418495372
NLGN3	-0.223656988834955
CSPG5	-0.302527562565376
DPP6	-0.308930048025521
MYO10	-0.101378794200198
BAI3	-0.344312197331029
ASCL1	-0.425120785604216
SEZ6L	-0.372813029469898
CKB	-0.123638476643883
CRB1	-0.357550705686855
GRIA2	-0.231651381868034
ARHGEF9	-0.294578064635614
VEZF1	-0.562743444793747
MMP15	-0.228898745143686
MARCKS	-0.458757750848676
BEX1	-0.318913474838536
CNTN1	-0.231772090876559
E2F3	-0.257934390326996
RBPJ	-0.204004964338256
BCOR	-0.342000998273304
P2RX7	-0.0160027943257991
C20orf42	0
CSNK1E	-0.179971500692215
ZNF248	-0.358884229528726
PLCB4	-0.404222222528177
PFN2	-0.393884141977834
GPR23	0
GRID2	-0.218422033658634
MPPED2	-0.463679697739848
TSPAN3	-0.00773799172985919
TTPA	0.0918333222490973
SIRT5	-0.177339801203286
CASQ1	-0.141765104756783
AKR7A3	0.086669955233034
MRPL49	-0.154723469880481
GUK1	-0.00202160039789903
VSX1	0.0205332952596338
NDRG2	-0.0841581380073153
PPP2R5A	-0.430163690042895
RND1	-0.168271507412782
ZNF323	-0.256365148972985
LYRM1	-0.30065760926327
SEPW1	-0.137926680881689
USP33	-0.360573925812724
ANKRD46	-0.325342105313228
SPAST	-0.627796697652593
PRPSAP2	-0.352439115954053
